VendorName,Total_Purchase_Dollars,GrossProfit,Total_Sales_Dollars,Purchase_Contribution,Cummulative_Contribution
DIAGEO NORTH AMERICA INC,50.10M,17.89M,67.99M,16.3,16.3
MARTIGNETTI COMPANIES,25.50M,13.83M,39.33M,8.3,24.6
PERNOD RICARD USA,23.85M,8.21M,32.06M,7.76,32.36
JIM BEAM BRANDS COMPANY,23.49M,7.93M,31.42M,7.64,40.0
BACARDI USA INC,17.43M,7.42M,24.85M,5.67,45.67
CONSTELLATION BRANDS INC,15.27M,8.95M,24.22M,4.97,50.64
BROWN-FORMAN CORP,13.24M,5.01M,18.25M,4.31,54.95
E & J GALLO WINERY,12.07M,6.33M,18.40M,3.93,58.88
ULTRA BEVERAGE COMPANY LLP,11.17M,5.34M,16.50M,3.63,62.510000000000005
M S WALKER INC,9.76M,4.94M,14.71M,3.18,65.69000000000001
